FIRSTOCCURRENCE,NODE,ORIGINALSEVERITY,X733SPECIFICPROB
2017-12-27 10:12,JSC018,Critical,Heartbeat Failure
2017-12-27 10:12,JSC017,Critical,Heartbeat Failure
2017-12-27 10:12,JST016,Critical,Heartbeat Failure
2017-12-27 10:12,JSC047,Critical,Heartbeat Failure
2017-12-27 10:35,BVT236,Critical,Heartbeat Failure
2017-12-27 10:38,JST026,Critical,Heartbeat Failure
2017-12-27 11:25,SLU265,Critical,Heartbeat Failure
2017-12-27 11:27,JSC011,Critical,Heartbeat Failure
2017-12-27 11:40,JSC011,Critical,Heartbeat Failure
2017-12-27 11:43,BVT225,Critical,Heartbeat Failure
2017-12-27 11:49,BVT225,Critical,Heartbeat Failure
2017-12-27 12:02,JST015,Critical,Heartbeat Failure
2017-12-27 12:12,JKA040,Critical,Heartbeat Failure
2017-12-27 12:20,BVT225,Critical,Heartbeat Failure
2017-12-29 21:31,JCL060,Critical,ExternalAlarm
2017-12-27 14:00,JST012,Critical,Heartbeat Failure
2017-12-27 14:26,BVT334,Critical,Heartbeat Failure
2017-12-27 15:21,JWM039,Critical,Heartbeat Failure
2017-12-27 15:22,JWM017,Critical,Heartbeat Failure
2017-12-27 15:27,JSC068,Critical,Heartbeat Failure
2017-12-27 15:43,JCLS01,Critical,Heartbeat Failure
2017-12-27 15:47,JWM038,Critical,Heartbeat Failure
2017-12-27 15:56,JWM038,Critical,Heartbeat Failure
2017-12-27 15:57,BVV241,Critical,Heartbeat Failure
2017-12-29 18:43,BVT227,Critical,License Key File Fault
2017-12-27 16:50,JWM021,Critical,Heartbeat Failure
2017-12-27 16:52,JWM023,Critical,Heartbeat Failure
2017-12-27 16:52,JWM042,Critical,Heartbeat Failure
2017-12-27 16:58,JKA089,Critical,Heartbeat Failure
2017-12-27 17:11,BVV239,Critical,Heartbeat Failure
2017-12-27 17:49,JSC032,Critical,Heartbeat Failure
2017-12-27 17:50,JSE016,Critical,Heartbeat Failure
2017-12-27 17:51,JMN057,Critical,Heartbeat Failure
2017-12-27 17:51,JSE014,Critical,Heartbeat Failure
2017-12-27 18:01,BVT236,Critical,Heartbeat Failure
2017-12-27 19:02,DOM020,Critical,Heartbeat Failure
2017-12-27 20:36,BVT236,Critical,Heartbeat Failure
2017-12-27 21:09,DOM020,Critical,Heartbeat Failure
2017-12-27 22:36,DOM025,Critical,Heartbeat Failure
2017-12-27 23:04,DOM016,Critical,Heartbeat Failure
2017-12-27 23:10,DOM035,Critical,Heartbeat Failure
2017-12-27 23:10,JCL041,Critical,Heartbeat Failure
2017-12-28 00:40,DOM053,Critical,Heartbeat Failure
2017-12-28 01:54,JSE050,Critical,Heartbeat Failure
2017-12-28 01:54,JSE009,Critical,Heartbeat Failure
2017-12-28 01:54,JSE049,Critical,Heartbeat Failure
2017-12-28 02:46,AXA424,Critical,Heartbeat Failure
